series,baker,baker_last,hometown,series_winner,latitude,longitude
1,Annetha,Mills,Essex,Lost,51.77046785,0.46466977412300386
1,David,Chambers,Milton Keynes,Lost,52.0406502,-0.7594092
1,Edd,Kimber,Bradford,Winner,53.7944229,-1.7519186
1,Jasminder,Randhawa,Birmingham,Lost,52.4796992,-1.9026911
1,Jonathan,Shepherd,St Albans,Lost,51.753051,-0.3379675
1,Lea,Harris,"Midlothian, Scotland",Lost,55.833333,-3.083333
1,Louise,Brimelow,Manchester,Lost,53.4794892,-2.2451148
1,Mark,Whithers,"South Wales, UK",Lost,51.64448175,-3.326878750000005
1,Miranda,Browne,"Midhurst, West Sussex",Lost,50.985523,-0.7399644
1,Ruth,Clemens,"Poynton, Cheshire",Lost,53.3492505,-2.1174396
2,Ben,Frazer,Northampton,Lost,52.23433665,-0.9028072768185827
2,Holly,Bell,Leicester,Lost,52.6362,-1.1331969
2,Ian,Vallance,"Dunstable, Bedfordshire",Lost,51.8861316,-0.5209341
2,Janet,Basu,"Formby, Liverpool",Lost,53.5583738,-3.077094124524356
2,Jason,White,Croydon,Lost,51.3713049,-0.101957
2,Joanne,Wheatley,"Ongar, Essex",Winner,51.7075433,0.2427963
2,Keith,Batsford,"Arlesey, Bedfordshire",Lost,52.0076781,-0.2617753
2,Mary-Anne,Boermans,"Kidderminster, Worcestershire",Lost,52.3880787,-2.2478582
2,Robert,Billington,London,Lost,51.5073219,-0.1276474
2,Simon,Blackwell,Norfolk,Lost,52.666667,1
2,Urvashi,Roe,"Enfield, London",Lost,51.6520851,-0.0810175
2,Yasmin,Limbert,"West Kirby, The Wirral",Lost,53.3733229,-3.1865608
3,Brendan,Lynch,Sutton Coldfield,Lost,52.5623089,-1.8239794
3,Cathryn,Dresser,"Pease Pottage, West Sussex",Lost,51.0829762,-0.2044605
3,Danny,Bryden,Sheffield,Lost,53.3806626,-1.4702278
3,James,Morton,"Hillswick, Shetland Islands",Lost,60.4765334,-1.4875893
3,John,Whaite,Wigan,Winner,53.5457188,-2.6264624
3,Manisha,Parmar,Leicester,Lost,52.6362,-1.1331969
3,Natasha,Stringer,"Tamworth, Staffordshire",Lost,52.6345819,-1.6948438
3,Peter,Maloney,"Windsor, Berkshire",Lost,51.4534889,-1.0318729593399247
3,Ryan,Chong,Bristol,Lost,51.4538022,-2.5972985
3,Sarah-Jane,Willis,"Bewbush, West Sussex",Lost,51.1023286,-0.2227992
3,Stuart,Marston-Smith,"Lichfield, Staffordshire",Lost,52.68064,-1.8243991722405983
3,Victoria,Chester,Somerset,Lost,51.16175085,-3.0753867062227487
4,Ali,Imdad,"Saltley, Birmingham",Lost,52.4888251,-1.8571552
4,Beca,Lyne-Pirkis,"Aldershot, Hampshire",Lost,51.2494169,-0.7630148
4,Christine,Wallace,"Didcot, Oxfordshire",Lost,51.6121773,-1.2439778415871414
4,Deborah,Manger,Peterborough,Lost,52.5725769,-0.2427336
4,Frances,Quinn,"Market Harborough, Leicestershire",Winner,52.4777114,-0.9208575
4,Glenn,Cosby,"Teignmouth, Devon",Lost,50.5463385,-3.4957798
4,Howard,Middleton,Sheffield,Lost,53.3806626,-1.4702278
4,Kimberley,Wilson,London,Lost,51.5073219,-0.1276474
4,Lucy,Bellamy,"Grimsby, Lincolnshire",Lost,53.5671407,-0.0788045
4,Mark,Onley,Milton Keynes,Lost,52.0406502,-0.7594092
4,Robert,Smart,"Melbourn, Cambridgeshire",Lost,52.0817224,0.0186616
4,Ruby,Tandoh,"Southend, Essex",Lost,51.57036905,0.708620337888284
4,Toby,Waterworth,"Reading, Berkshire",Lost,51.45200635,-0.9684735493619272
5,Chetna,Makan,"Broadstairs, Kent",Lost,51.3586758,1.4407855
5,Claire,Goodwin,"Ashton upon Mersey, Trafford",Lost,53.429835,-2.3431771
5,Diana,Beard,"Alkington, Shropshire",Lost,52.9491539,-2.6969395
5,Enwezor,Nzegwu,"Portsmouth, UK",Lost,50.8036831,-1.075614
5,Iain,Watters,London/Belfast,Lost,51.50651995,-0.0811196916752953
5,Jordan,Cox,"Sneinton, Nottingham",Lost,52.9533392,-1.1254612
5,Kate,Henry,"Brighton, East Sussex",Lost,50.9404266,0.3699977891068864
5,Luis,Troyano,"Poynton, Cheshire",Lost,53.3492505,-2.1174396
5,Martha,Collison,"Ascot, Berkshire",Lost,51.40826155,-0.6351832806818182
5,Nancy,Birtwhistle,"Barton-upon-Humber, Lincolnshire",Winner,53.6858065,-0.4395216
5,Norman,Calder,"Portknockie, Moray",Lost,57.7034964,-2.8581483
5,Richard,Burr,"Mill Hill, London",Lost,51.6154423,-0.2330675
6,Alvin,Magallanes,"Bracknell, Berkshire",Lost,51.4534889,-1.0318729593399247
6,Dorret,Conway,"Penwortham, Lancashire",Lost,53.74143315,-2.7292367175458985
6,Flora,Shedden,"Dunkeld, Perth and Kinross",Lost,56.5655711,-3.5862546
6,Ian,Cumming,"Great Wilbraham, Cambridgeshire",Lost,52.194124,0.2651614
6,Marie,Campbell,"Auchterarder, UK",Lost,56.2949827,-3.7066774
6,Mat,Riley,London,Lost,51.5073219,-0.1276474
6,Nadiya,Hussain,Leeds,Winner,53.7974185,-1.5437941
6,Paul,Jagger,"Swansea, Wales",Lost,51.6195955,-3.9459248
6,Sandy,Docherty,"Yeadon, West Yorkshire",Lost,53.8636612,-1.6850787
6,Stu,Henshall,"Guildford, Surrey",Lost,51.2356068,-0.5732063
6,Tamal,Ray,Manchester,Lost,53.4794892,-2.2451148
6,Ugnė,Bubnaityte,"Woodford, London",Lost,51.6068063,0.0340272
7,Andrew,Smyth,"Derby, UK",Lost,52.9212617,-1.4761491
7,Benjamina,Ebuehi,South London,Lost,51.51419575,-0.1134767748845356
7,Candice,Brown,"Barton-Le-Clay, Bedfordshire",Winner,51.9673954,-0.4256503
7,Jane,Beedle,Beckenham,Lost,51.4070938,-0.0303183
7,Kate,Barmby,"Brooke, Norfolk",Lost,52.5426489,1.3774088
7,Lee,Banfield,Bolton,Lost,53.5782863,-2.4300367
7,Louise,Williams,Cardiff,Lost,51.4816546,-3.1791934
7,Michael,Georgiou,"Durham, UK",Lost,54.666667,-1.75
7,Rav,Bansal,Erith,Lost,51.480819,0.1792322
7,Selasi,Gbormittah,London,Lost,51.5073219,-0.1276474
7,Tom,Gilliford,Rochdale,Lost,53.6153659,-2.1557561
7,Val,Stones,Yeovil,Lost,50.9420451,-2.6318629
8,Chris,Geiger,Bristol,Lost,51.4538022,-2.5972985
8,Flo,Atkins,Merseyside,Lost,53.4953602,-2.973937960086006
8,James,Hillery,"Brentwood, Essex",Lost,51.6201654,0.3018662
8,Julia,Chernogorova,"Crawley, West Sussex",Lost,51.1103444,-0.1801094
8,Kate,Lyon,Merseyside,Lost,53.4953602,-2.973937960086006
8,Liam,Charles,London,Lost,51.5073219,-0.1276474
8,Peter,Abatan,"Southend, Essex",Lost,51.57036905,0.708620337888284
8,Sophie,Faldo,"West Molesey, Surrey",Winner,51.4047705,-0.3641342
8,Stacey,Hart,"Radlett, Hertfordshire",Lost,51.6844228,-0.317677
8,Steven,Carter-Bailey,"Watford, Hertfordshire",Lost,51.6553875,-0.3957425
8,Tom,Hetherington,Edinburgh,Lost,55.9533456,-3.1883749
8,Yan,Tsou,London,Lost,51.5073219,-0.1276474
9,Antony,Amourdoux,London,Lost,51.5073219,-0.1276474
9,Briony,Williams,Bristol,Lost,51.4538022,-2.5972985
9,Dan,Beasley-Harling,London,Lost,51.5073219,-0.1276474
9,Imelda,McCarron,County Tyrone,Lost,54.63533405,-7.261148467859144
9,Jon,Jenkins,"Newport, UK",Lost,51.5882332,-2.9974967
9,Karen,Wright,Wakefield,Lost,53.6829541,-1.4967286
9,Kim-Joy,Hewlett,Leeds,Lost,53.7974185,-1.5437941
9,Luke,Thompson,Sheffield,Lost,53.3806626,-1.4702278
9,Manon,Lagrève,London,Lost,51.5073219,-0.1276474
9,Rahul,Mandal,Rotherham,Winner,53.4310417,-1.355187
9,Ruby,Bhogal,London,Lost,51.5073219,-0.1276474
9,Terry,Hartill,West Midlands,Lost,52.5050033,-1.964396123331272
10,Alice,Fevronia,Essex,Lost,51.77046785,0.46466977412300386
10,Amelia,Bruin,"Halifax, UK",Lost,53.7229229,-1.8604874
10,Dan,Chambers,Rotherham,Lost,53.4310417,-1.355187
10,David,Atherton,Whitby,Winner,54.4874141,-0.6155111
10,Helena,Garcia,Leeds,Lost,53.7974185,-1.5437941
10,Henry,Bird,"Durham, UK",Lost,54.666667,-1.75
10,Jamie,Finn,Surrey,Lost,51.2715316,-0.3414523511290909
10,Michael,Chakraverty,Stratford-upon-Avon,Lost,52.1927803,-1.70634
10,Michelle,Evans-Fecci,"Tenby, Wales",Lost,51.6726128,-4.7050443
10,Phil,Thorne,Rainham,Lost,51.3633052,0.6083609
10,Priya,O'Shea,Leicester,Lost,52.6362,-1.1331969
10,Rosie,Brandreth-Poynter,Somerset,Lost,51.16175085,-3.0753867062227487
10,Steph,Blackwell,Chester,Lost,53.1908873,-2.8908955
NA,Tent,NA,Valentines Mansion,Tent,51.572069299999995,0.06639135030156632
NA,Tent,NA,Harptree Court,Tent,51.3009117,-2.6201636459087982
NA,Tent,NA,Welford Park,Tent,51.4594808,-1.4139791
